trade_date,ts_code,OPEN,CLOSE,VOLUME
2016-03-04,000300.SH,3047.54,3093.89,219173000.0
2016-03-07,000300.SH,3109.0,3104.84,132462000.0
2016-03-08,000300.SH,3100.15,3107.67,136236000.0
2016-03-09,000300.SH,3045.92,3071.91,111466000.0
2016-03-10,000300.SH,3056.21,3013.15,76072200.0
2016-03-11,000300.SH,2990.21,3018.28,73333600.0
2016-03-14,000300.SH,3039.57,3065.69,117109000.0
2016-03-15,000300.SH,3061.34,3074.78,98311900.0
2016-03-16,000300.SH,3068.87,3090.03,124736000.0
2016-03-17,000300.SH,3096.81,3124.2,121662000.0
2016-03-18,000300.SH,3136.22,3171.96,197303000.0
2016-03-21,000300.SH,3203.29,3249.44,233269000.0
2016-03-22,000300.SH,3231.61,3225.79,161021000.0
2016-03-23,000300.SH,3217.73,3236.09,125679000.0
2016-03-24,000300.SH,3211.5,3181.85,133131000.0
2016-03-25,000300.SH,3176.81,3197.82,97395300.0
2016-03-28,000300.SH,3206.95,3169.73,103442000.0
2016-03-29,000300.SH,3171.31,3135.41,97294700.0
2016-03-30,000300.SH,3161.29,3216.28,117803000.0
2016-03-31,000300.SH,3229.2,3218.09,121552000.0
2016-04-01,000300.SH,3213.67,3221.89,118122000.0
2016-04-05,000300.SH,3211.3,3264.49,146048000.0
2016-04-06,000300.SH,3250.52,3257.53,120196000.0
2016-04-07,000300.SH,3266.29,3209.29,112409000.0
2016-04-08,000300.SH,3189.85,3185.73,101006000.0
2016-04-11,000300.SH,3213.51,3230.1,125213000.0
2016-04-12,000300.SH,3227.37,3218.45,92869400.0
2016-04-13,000300.SH,3237.86,3261.38,195614000.0
2016-04-14,000300.SH,3277.1,3275.83,113157000.0
2016-04-15,000300.SH,3279.86,3272.21,99807500.0
2016-04-18,000300.SH,3252.67,3228.45,97090100.0
2016-04-19,000300.SH,3243.97,3238.3,80871400.0
2016-04-20,000300.SH,3244.14,3181.03,162208000.0
2016-04-21,000300.SH,3160.8,3160.6,104753000.0
2016-04-22,000300.SH,3142.56,3174.9,77078500.0
2016-04-25,000300.SH,3164.74,3162.03,67519400.0
2016-04-26,000300.SH,3159.77,3179.16,59020700.0
2016-04-27,000300.SH,3181.93,3165.92,60004100.0
2016-04-28,000300.SH,3169.33,3160.58,69870700.0
2016-04-29,000300.SH,3153.54,3156.75,58029800.0
2016-05-03,000300.SH,3159.82,3213.54,98164800.0
2016-05-04,000300.SH,3203.47,3209.46,90862400.0
2016-05-05,000300.SH,3204.17,3213.92,74733700.0
2016-05-06,000300.SH,3213.14,3130.35,108680000.0
2016-05-09,000300.SH,3115.43,3065.62,99230500.0
2016-05-10,000300.SH,3055.21,3069.11,68849900.0
2016-05-11,000300.SH,3080.64,3082.81,81794300.0
2016-05-12,000300.SH,3059.38,3090.14,78765700.0
2016-05-13,000300.SH,3081.68,3074.94,62629800.0
2016-05-16,000300.SH,3064.53,3095.31,59461900.0
2016-05-17,000300.SH,3095.52,3086.02,65278100.0
2016-05-18,000300.SH,3071.53,3068.04,82715400.0
2016-05-19,000300.SH,3060.34,3062.5,60444200.0
2016-05-20,000300.SH,3047.78,3078.22,56080800.0
2016-05-23,000300.SH,3078.51,3087.22,59697200.0
2016-05-24,000300.SH,3083.24,3063.56,58734400.0
2016-05-25,000300.SH,3079.75,3059.23,56652800.0
2016-05-26,000300.SH,3056.6,3064.21,60393000.0
2016-05-27,000300.SH,3059.73,3062.5,60468800.0
2016-05-30,000300.SH,3056.31,3066.71,63098600.0
2016-05-31,000300.SH,3068.6,3169.56,138863000.0
2016-06-01,000300.SH,3172.96,3160.55,113148000.0
2016-06-02,000300.SH,3158.03,3167.1,86003400.0
2016-06-03,000300.SH,3172.95,3189.33,101492000.0
2016-06-06,000300.SH,3192.78,3178.79,76693800.0
2016-06-07,000300.SH,3182.44,3177.05,68928300.0
2016-06-08,000300.SH,3171.81,3163.99,76291800.0
2016-06-13,000300.SH,3134.05,3066.34,92975900.0
2016-06-14,000300.SH,3058.44,3075.98,66279500.0
2016-06-15,000300.SH,3043.96,3116.37,87393300.0
2016-06-16,000300.SH,3104.36,3094.67,82974700.0
2016-06-17,000300.SH,3096.09,3110.36,85403000.0
2016-06-20,000300.SH,3114.91,3112.67,63587100.0
2016-06-21,000300.SH,3124.9,3106.32,87965300.0
2016-06-22,000300.SH,3100.45,3133.96,66487100.0
2016-06-23,000300.SH,3129.72,3117.32,67751700.0
2016-06-24,000300.SH,3110.65,3077.16,104792000.0
2016-06-27,000300.SH,3065.13,3120.54,83267300.0
2016-06-28,000300.SH,3107.4,3136.4,92024600.0
2016-06-29,000300.SH,3142.48,3151.39,103724000.0
2016-06-30,000300.SH,3152.83,3153.92,79692600.0
2016-07-01,000300.SH,3156.93,3154.2,71746300.0
2016-07-04,000300.SH,3136.39,3204.7,133311000.0
2016-07-05,000300.SH,3199.16,3207.38,130227000.0
2016-07-06,000300.SH,3197.62,3216.8,124897000.0
2016-07-07,000300.SH,3206.55,3209.95,118595000.0
2016-07-08,000300.SH,3199.75,3192.28,89734900.0
2016-07-11,000300.SH,3199.04,3203.33,138530000.0
2016-07-12,000300.SH,3201.91,3273.18,172534000.0
2016-07-13,000300.SH,3274.02,3282.87,175196000.0
2016-07-14,000300.SH,3277.48,3276.76,107526000.0
2016-07-15,000300.SH,3278.84,3276.28,102665000.0
2016-07-18,000300.SH,3269.71,3262.02,110313000.0
2016-07-19,000300.SH,3260.43,3248.23,88886900.0
2016-07-20,000300.SH,3246.86,3237.6,72701300.0
2016-07-21,000300.SH,3238.34,3252.52,86004800.0
2016-07-22,000300.SH,3251.24,3225.16,86029100.0
2016-07-25,000300.SH,3220.17,3230.89,70203200.0
2016-07-26,000300.SH,3228.23,3269.59,81051100.0
2016-07-27,000300.SH,3270.08,3218.24,160189000.0
2016-07-28,000300.SH,3204.46,3221.14,112780000.0
2016-07-29,000300.SH,3217.19,3203.93,88044800.0
2016-08-01,000300.SH,3196.43,3176.81,87003500.0
2016-08-02,000300.SH,3173.76,3189.05,62167600.0
